zaman,boyut,kaynak_ip,hedef_ip,protokol,ttl,etiket,kaynak_port,hedef_port,bayraklar
1775625870.4971027,1292,192.178.24.42,10.111.197.48,17,53,1,443,50758,UDP
1775625870.4977076,1292,192.178.24.42,10.111.197.48,17,52,1,443,50758,UDP
1775625870.4990382,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.4997966,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5004096,74,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.500944,77,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5012722,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.501749,1292,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.502351,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5030603,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5037622,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5045938,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5052788,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5056798,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5060084,132,10.111.197.48,157.240.238.60,6,128,1,55041,443,PA
1775625870.5067964,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5075164,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5082486,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.509496,66,216.239.38.120,10.111.197.48,17,50,1,443,57575,UDP
1775625870.5103135,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5113285,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5123737,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5130124,65,142.251.127.84,10.111.197.48,17,51,1,443,50953,UDP
1775625870.5139413,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5149367,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.515585,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5160627,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5165293,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5172992,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.518065,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.519037,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5197322,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5204656,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5211875,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5274496,1292,192.178.24.42,10.111.197.48,17,52,1,443,50758,UDP
1775625870.5282958,1268,192.178.24.42,10.111.197.48,17,53,1,443,50758,UDP
1775625870.528787,66,3.160.57.104,10.111.197.48,6,242,1,443,52937,SA
1775625870.529311,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.529784,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5304663,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5310726,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5330606,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5339649,108,192.178.24.42,10.111.197.48,17,52,1,443,50758,UDP
1775625870.5357533,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5369575,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5377386,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.538159,66,104.18.25.232,10.111.197.48,6,51,1,443,64900,SA
1775625870.5390239,606,142.251.127.84,10.111.197.48,17,51,1,443,50953,UDP
1775625870.5394814,63,142.251.127.84,10.111.197.48,17,52,1,443,50953,UDP
1775625870.539919,54,10.111.197.48,3.160.57.104,6,128,1,52937,443,A
1775625870.540488,81,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.5411992,1393,10.111.197.48,3.160.57.104,6,128,1,52937,443,A
1775625870.541684,507,10.111.197.48,3.160.57.104,6,128,1,52937,443,PA
1775625870.5422342,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5426786,54,172.217.18.163,10.111.197.48,6,114,1,443,62514,A
1775625870.5435882,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5445395,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5452073,1292,192.178.24.65,10.111.197.48,17,54,1,443,53819,UDP
1775625870.5456173,66,192.178.24.42,10.111.197.48,6,114,1,443,54924,SA
1775625870.5464344,1292,192.178.24.65,10.111.197.48,17,53,1,443,53819,UDP
1775625870.5470395,125,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.5475705,116,10.111.197.48,192.178.24.42,17,128,1,50758,443,UDP
1775625870.5479712,54,10.111.197.48,104.18.25.232,6,128,1,64900,443,A
1775625870.5485187,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
1775625870.5489397,73,10.111.197.48,192.178.24.65,17,128,1,53819,443,UDP
